Date,CM,RY,MFC,BB,AC,WFG,PUMA,BNS,CSU,CNR
2016-08-31,-0.003452455,-0.003183644,-0.023205577,-0.033599999,0.003353832,0.004312903,0,-0.001717348,0.012627849,-0.008860905
2016-09-01,0.000191998,-0.000858773,-0.001678096,0.002008033,-0.003353832,0.000226354,0,0.003859667,0.010102656,0.00449971
2016-09-02,-0.000864311,0.000490627,-0.002803858,0.003004509,0.019956316,0.014388803,0,0.005833854,0.003402913,0.005184121
2016-09-06,-0.002791593,0.001226183,-0.002248336,-0.011060947,0.005473467,-0.00604483,0,0.001842803,-0.026824104,-0.014083927
2016-09-07,0.001155912,-0.002699717,-0.002817606,0.002020203,0.035392434,-0.03566083,0,0.001131916,-0.008770143,0.005075326
2016-09-08,-0.003761973,-0.00393986,0.01122357,-0.006072893,-0.031035129,-0.014061685,0,-0.005389506,0.0010892,-0.001907689
2016-09-09,-0.006107379,-0.004203053,0.013303722,0.00405269,-0.01423122,-0.036778758,0,-0.007995503,-0.022178863,-0.03213771
2016-09-12,-0.005851572,-0.000247753,-0.008849842,0.004036332,-0.002207506,-0.014303571,0,-0.002152157,0.01797626,0.010055295
2016-09-13,-0.009532709,-0.006464517,-0.012859844,-0.04111576,-0.008879082,0.013813595,0,-0.014032931,-0.017374075,-0.012646719
2016-09-14,0.001282978,-0.000873488,-0.000562855,-0.001049869,0.011086588,0.016762528,0,0.003490407,0.011953307,-0.000123589
2016-09-15,0.003347451,0.015482862,0.02282331,0.001049869,0.01423122,0.013637939,0,0.016985955,0.017778558,0.018852379
2016-09-16,-0.008687404,-0.007401537,-0.007734935,0.001048768,0.003255564,-0.004763854,0,-0.002286317,-0.003092752,0.0085733
2016-09-19,0.000297584,0,0.008835025,0.014568416,0.019313905,0.008322485,0,0.001429766,0.02012482,-0.000842029
2016-09-20,0.003364432,0.003707485,0.009302489,0.030521189,0.007411363,-0.005937917,0,0.006123793,0.020171723,-0.001324458
2016-09-21,0.011491532,0.006639577,0.008676684,0.02180463,-0.007411363,0.009483594,0,0.004250602,0.002493174,0.015306025
2016-09-22,0.003995997,0.003425598,0.011808981,0.01169604,0.042648169,0.0147559,0,0.005217668,0.007933075,0.00638746
2016-09-23,-0.004777465,-0.005879632,-0.013430173,0.008683123,-0.017463207,-0.028058009,0,-0.008900481,0.000389148,-0.00413572
2016-09-26,-0.005553781,-0.006284837,-0.014161349,-0.005780363,-0.031581572,-0.014693994,0,-0.00056779,-0.002252279,-0.002726694
2016-09-27,0.000496862,-0.001732385,-0.004398101,0.005780363,0.04802593,-0.018646142,0,-0.004839065,0.003165215,0.002845197
2016-09-28,0.006736499,0.008754446,0.013679892,0.045078054,0.021180822,-0.004716161,0,0.009655049,0.002649542,-0.000947356
2016-09-29,-0.002272963,-0.002827741,-0.002720926,-0.042200354,0.013875346,-0.007241891,0,-0.00198019,-0.001129865,0.00543597
2016-09-30,0.006706597,0.000368978,0.008681545,0.001913876,0.042395559,0.013195837,0,0.009942227,-0.002127961,0.010667684
2016-10-03,-0.007102919,-0.003821854,-0.003246621,-0.017358199,0.062177245,-0.010692727,0.251314428,-0.001295254,0.022387689,0.007666274
2016-10-04,-0.008250664,0.002467479,0.008097099,-0.016675227,0.003539827,-0.021479024,0,0.001295254,0.006903934,0.006459135
2016-10-05,-0.002198908,0.005774968,0.027050164,-0.000989609,0.048285241,-0.001022181,0.105360516,0.004019722,-0.014888901,0.015288601
2016-10-06,-0.002604407,0.006107408,0.005219196,0.038839833,0.053269455,0.043283749,0,-0.001146745,-0.008351119,0.002035579
2016-10-07,0.001003052,-0.002682534,-0.002084309,-0.004773279,-0.017713829,-0.001961111,-0.105360516,-0.002872977,-0.00321529,-0.002601853
2016-10-11,-0.002608703,0.001585711,0.002604835,-0.029128273,0.006477755,-0.013087898,0,0.005021889,-0.003902634,-0.001814538
2016-10-12,0.004810142,0.000975009,0.002597995,-0.008906541,0.009638629,0.005948151,0.200670695,0.001715842,-0.001354893,-0.00306903
2016-10-13,0.003294099,0.006070717,-0.006769008,-0.020080996,0.007961825,-0.01971388,-0.09531018,0.003565847,-0.005506766,-0.000113568
2016-10-14,-0.00059811,0,0.001044221,-0.002030458,0.029689681,-0.01191532,0,-0.000569742,-0.009331865,-0.007772335
2016-10-17,-0.001097165,0.002055871,-0.00470823,-0.017427402,0,-0.002042636,-0.105360516,-0.001140364,0.006327738,-0.001033279
2016-10-18,0.008844627,0.009019505,0.010433017,0.007212808,0.004608303,0.012444518,0,0.009368588,0.001742269,0.008577946
2016-10-19,-0.000692722,0.001674587,0.004142934,0.005120339,-0.019342963,-0.015003436,0,0.001270876,0.008360233,-0.002166339
2016-10-20,-0.002875666,0.003102169,0.001549267,0.010162689,0.00778214,-0.009783695,-0.117783036,0.001551247,-0.000947838,-0.009057167
2016-10-21,-0.001092789,0.006768816,0.005146597,-0.006085211,0.005411687,0.026300569,0,0.003796463,-0.001474534,0.006657911
2016-10-24,0.001589065,0.001433247,0.007161239,-0.001017812,0.003079294,-0.008859375,0,0.007550112,0.005059094,0.004565595
2016-10-25,-0.002384718,-0.003706732,-0.011791875,-0.010235504,-0.011596574,0.116284508,-0.133531393,0.00027851,-0.017794778,-0.001595969
2016-10-26,0.001491245,0.002034489,0.004630636,-0.003091193,-0.012519725,0.01683363,0,-0.00069662,0.010187809,-0.039197925
2016-10-27,0.001290662,0.001194565,0.007161239,-0.011416834,-0.018276234,0.012606264,0,0.006528524,0.020136371,0.005441961
2016-10-28,0.001684626,-0.000358039,-0.013340703,-0.007333715,0.018276234,0.019371542,0.133531393,-0.001940242,0.008365167,-0.003664224
2016-10-31,-0.004665401,0.000954826,0.00360944,-0.004214969,-0.003944778,-0.010183066,-0.133531393,-0.000138292,0.037868904,-0.001540482
2016-11-01,-0.012515801,-0.006945005,-0.010866769,0.001055409,0.001579779,0.021116773,0.133531393,-0.000694346,0.011739602,-0.013251369
2016-11-02,-0.015126425,-0.007720711,-0.012565746,-0.009539023,-0.038621051,-0.019811097,-0.133531393,-0.010045988,-0.014352905,0.002999866
2016-11-03,0.00275802,0.001815321,0.008394732,-0.003200003,-0.032516412,0.013394084,0,0.004337751,0.00383816,0.000239955
2016-11-04,0.001427251,-0.008131834,-0.001045605,0,0.011794576,-0.01448212,0,-0.00897587,-0.00019072,-0.005164382
2016-11-07,0.016267023,0.012353883,0.022240442,0.006389798,0.071892071,0.015768849,0,0.011068324,0.009950053,0.022502036
2016-11-08,0.001602026,0.00516181,-0.00358703,0.004237294,-0.002341008,0.002782374,0,0.006111651,-0.006205544,0.001059068
2016-11-09,0.010550882,0.009890053,0.030833708,0.008421102,0.00623055,-0.067864069,0,-0.008064218,0.020924986,-0.003180468
